fips,name,state,farmvalue,valuesource,profit,profitsource,estprofit,estprofitsource,estprofit_changeirr,estprofitsource_changeirr,obscrop,toadd,esttoadd,esttoadd_changeirr
06013,Contra Costa,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06015,Del Norte,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06017,El Dorado,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06019,Fresno,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06021,Glenn,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,rice,0.0,Inf,Inf
06023,Humboldt,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06025,Imperial,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06027,Inyo,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06029,Kern,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06031,Kings,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06033,Lake,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06035,Lassen,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06037,Los Angeles,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06039,Madera,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,whea,-Inf,Inf,Inf
06041,Marin,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06043,Mariposa,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06045,Mendocino,CA,0.0,barl,-Inf,barl,0.0,none,0.0,none,NA,-Inf,0.0,0.0
06047,Merced,CA,114.48,rice,-Inf,rice,0.0,none,0.0,none,cott,-Inf,Inf,Inf
