node,outnode
junction.10078-up,junction.10008-dn
junction.1152-up,usgs.08041780
junction.18977-dn,junction.18945-dn
junction.6792-dn,usgs.11152500
junction.260-dn,canal.02277900
usgs.05434500,usgs.05435000
junction.22011-dn,junction.21829-dn
usgs.07307800,usgs.07307028
reservoir.1190,usgs.05536195
junction.9628-dn,usgs.11467600
junction.1053-dn,junction.1053-up
junction.1053-dn,junction.2323-up
reservoir.1842,junction.10023-up
reservoir.1842,junction.8668-up
junction.8227-dn,usgs.01661800
junction.4984-up,junction.5350-up
junction.4984-up,reservoir.2014
junction.21765-dn,junction.21530-dn
junction.4411-dn,usgs.11118500
junction.2925-dn,canal.09523400
junction.3241-dn,usgs.11041000
junction.1117-dn,junction.1117-up
junction.1488-dn,usgs.02479560
junction.12613-up,reservoir.1392
junction.1179-dn,usgs.02359170
canal.08314000,junction.7146-up
junction.2877-dn,junction.3179-up
junction.7586-dn,junction.7586-up
junction.20033-dn,junction.20894-up
junction.21332-dn,junction.21295-dn
