"FIPS","year_cal","month_num","calculated"
36111,2011,9,3.0480543133034497e7
36111,2011,10,2.751833885816984e7
36111,2011,11,2.4399034210647956e7
36111,2011,12,2.534005765089601e7
36111,2012,1,6.624909444630226e7
36111,2012,2,6.0587845038697824e7
36111,2012,3,6.642142008070863e7
36111,2012,4,6.6044337450584315e7
36111,2012,5,7.697018938427347e7
36111,2012,6,8.295349885513559e7
36111,2012,7,9.335115064387053e7
36111,2012,8,9.017146243635206e7
36111,2012,9,7.919534295654872e7
36111,2012,10,7.149886647214472e7
36111,2012,11,6.339420769791448e7
36111,2012,12,6.583919936867729e7
36111,2013,1,6.0316970306133464e7
36111,2013,2,5.5162644571298406e7
36111,2013,3,6.047386543444197e7
36111,2013,4,6.01305478088312e7
36111,2013,5,7.007806923778749e7
36111,2013,6,7.552561690168679e7
36111,2013,7,8.499223466357899e7
36111,2013,8,8.209726438815723e7
36111,2013,9,7.210397650591324e7
36111,2013,10,6.5096663463348895e7
36111,2013,11,5.771771788360484e7
36111,2013,12,5.994377834883394e7
36111,2014,1,7.410723849855834e7
36111,2014,2,6.777447933323543e7
36111,2014,3,7.430000455815662e7
36111,2014,4,7.387819422794998e7
36111,2014,5,8.610001736103632e7
36111,2014,6,9.279303778152314e7
36111,2014,7,1.0442400824795416e8
36111,2014,8,1.0086716095343575e8
36111,2014,9,8.858910778339939e7
36111,2014,10,7.997971284456632e7
36111,2014,11,7.091371902606757e7
36111,2014,12,7.364872366856983e7
36113,2009,1,4.854849223313555e7
36113,2009,2,4.439982989756654e7
36113,2009,3,4.867477546452868e7
36113,2009,4,4.83984427343556e7
36113,2009,5,5.6405097650567874e7
36113,2009,6,6.0789771219352186e7
36113,2009,7,6.840935185403392e7
36113,2009,8,6.6079220860747255e7
36113,2009,9,5.803572900974365e7
36113,2009,10,5.239561676445918e7
36113,2009,11,4.645638141578804e7
36113,2009,12,4.824811396896763e7
36113,2010,1,4.862288620148621e7
36113,2010,2,4.4467866604542166e7
36113,2010,3,4.874936294477409e7
36113,2010,4,4.8472606772235714e7
36113,2010,5,5.649153079929022e7
36113,2010,6,6.0882923284599006e7
36113,2010,7,6.8514179891376e7
36113,2010,8,6.618047828892326e7
36113,2010,9,5.812466087947969e7
36113,2010,10,5.247590592846802e7
36113,2010,11,4.652756950855383e7
36113,2010,12,4.832204764843907e7
36113,2011,1,3.6512103679548286e7
36113,2011,2,3.339199876258557e7
36113,2011,3,3.660707813139063e7
36113,2011,4,3.63992552139315e7
36113,2011,5,4.242085961357501e7
36113,2011,6,4.571846266117613e7
36113,2011,7,5.1448958199373186e7
36113,2011,8,4.9696525106183454e7
36113,2011,9,4.364721657155099e7
36113,2011,10,3.940542957484663e7
36113,2011,11,3.493867959244634e7
36113,2011,12,3.628619671890129e7
36113,2012,1,5.9792060188551925e7
36113,2012,2,5.468259011728542e7
36113,2012,3,5.994758993262725e7
36113,2012,4,5.960726003823562e7
36113,2012,5,6.946821288431355e7
36113,2012,6,7.486835311262256e7
36113,2012,7,8.425258736922145e7
36113,2012,8,8.138281065342233e7
36113,2012,9,7.147648963789381e7
36113,2012,10,6.4530157932661824e7
36113,2012,11,5.7215427832777455e7
36113,2012,12,5.9422115944676876e7
36113,2013,1,5.4124041550649926e7
36113,2013,2,4.949892628338942e7
36113,2013,3,5.426482777383992e7
36113,2013,4,5.395675962420778e7
36113,2013,5,6.288293844940752e7
36113,2013,6,6.777116964891207e7
36113,2013,7,7.626582066484141e7
36113,2013,8,7.366808588672553e7
36113,2013,9,6.470083959068304e7
36113,2013,10,5.841298891865423e7
36113,2013,11,5.1791662364435025e7
36113,2013,12,5.37891663587971e7
36113,2014,1,5.221138858745735e7
36113,2014,2,4.774971714603818e7
36113,2014,3,5.234719966135608e7
36113,2014,4,5.205001812407546e7
36113,2014,5,6.066076074216884e7
36113,2014,6,6.53762500395419e7
36113,2014,7,7.357071431827608e7
36113,2014,8,7.106477913565609e7
36113,2014,9,6.241442030234589e7
36113,2014,10,5.634877174005263e7
36113,2014,11,4.996143177462764e7
36113,2014,12,5.188834732392265e7
36115,2009,1,1.5864310527704965e7
36115,2009,2,1.4508641905701095e7
36115,2009,3,1.5905576410642007e7
36115,2009,4,1.581527848296626e7
36115,2009,5,1.8431632854364693e7
36115,2009,6,1.986442344905052e7
36115,2009,7,2.2354292602947235e7
36115,2009,8,2.159286995216305e7
36115,2009,9,1.8964478284742903e7
36115,2009,10,1.7121444897822715e7
36115,2009,11,1.5180666316770673e7
36115,2009,12,1.5766155181589385e7
36115,2010,1,1.609735644939165e7
36115,2010,2,1.472177312369077e7
36115,2010,3,1.613922852606819e7
36115,2010,4,1.6047604126388201e7
36115,2010,5,1.8702392611571584e7
36115,2010,6,2.0156230827844206e7
36115,2010,7,2.268267603405884e7
36115,2010,8,2.191006812292973e7
36115,2010,9,1.924306551445306e7
36115,2010,10,1.7372958060014844e7
36115,2010,11,1.5403669539471814e7
