"resid","storage","storagemax"
"reservoir.1371",0,82273.116
"reservoir.1372",775.457696609523,18255.504
"reservoir.1373",0,14530.3944
"reservoir.1374",0,252246.66
"reservoir.1375",0,86220.252
"reservoir.1376",0.193958557019607,1390378.656
"reservoir.1377",2.69255973125918e-13,9744.492
"reservoir.1378",5.64326064098052,14185.02
"reservoir.1379",3.93190072203864e-14,19982.376
"reservoir.138",0,866519.7
"reservoir.1380",0,31707.83688
"reservoir.1381",9.42144966024998e-14,14431.716
"reservoir.1382",0,38114.532
"reservoir.1383",397.472029114508,162819.36
"reservoir.1384",0,233127.72
"reservoir.1385",0,20261.14248
"reservoir.1386",0,10669.602
"reservoir.1387",8.86428936045049e-14,18488.63172
"reservoir.1388",0,50005.2792
"reservoir.1389",94207.2161357082,148017.6
"reservoir.139",0,521762.04
"reservoir.1390",1.27107705867978e-13,14061.672
"reservoir.1391",0,7154.184
"reservoir.1392",0,111013.2
"reservoir.1393",1385.8511676315,46872.24
"reservoir.1394",3.36224281360218e-14,15284.05068
"reservoir.1395",44370.315854208,150829.9344
"reservoir.1396",0,11076.6504
"reservoir.1397",1.65892398989083e-13,37004.4
"reservoir.1398",0.614241599266896,11817.97188
"reservoir.1399",6.52372012371917e-13,34784.136
"reservoir.14",0,21314.5344
"reservoir.140",0,862017.498
"reservoir.1400",0,241762.08
"reservoir.1401",0,11350.48296
"reservoir.1402",2.16257229989043e-14,13198.236
"reservoir.1403",396.961744560958,113356.812
"reservoir.1404",0,11156.8266
"reservoir.1405",0,87083.688
"reservoir.1406",1.30308618825189e-12,204264.288
"reservoir.1407",0,19550.658
"reservoir.1408",8.88178419700125e-16,15739.2048
"reservoir.1409",1.05960156178817e-15,11471.364
"reservoir.141",316.230475738849,53903.076
"reservoir.1410",0,10667.13504
"reservoir.1411",0,8202.642
"reservoir.1412",0,67872.237
"reservoir.1413",0,12369.33744
"reservoir.1414",0,394713.6
"reservoir.1415",1069.30619545879,47734.44252
"reservoir.1416",0,15591.1872
"reservoir.1417",4.52970674493645e-13,17515.416
"reservoir.1418",316.302342951474,33316.2948
"reservoir.1419",0,13654.6236
"reservoir.142",0,159118.92
"reservoir.1420",0,680880.96
"reservoir.1421",0,189215.832
"reservoir.1422",7.9394177207852,6784.14
"reservoir.1423",121.836427239012,166273.104
"reservoir.1424",19071.1077900801,47587.6584
"reservoir.1425",3.57066958846412e-15,26026.428
"reservoir.1426",150.039822691234,14741.31948
"reservoir.1427",0,29874.8856
"reservoir.1428",642.385820813048,218325.96
"reservoir.1429",238.440089038176,10906.43016
"reservoir.143",0,495858.96
"reservoir.1430",0,44489.15664
"reservoir.1431",1281.83966003457,19571.62716
"reservoir.1432",0,13013.214
"reservoir.1433",0,21963.34488
"reservoir.1434",565.345,6784.14
"reservoir.1435",0,137656.368
"reservoir.1436",134.599824088331,73985.36388
"reservoir.1437",7.52606741906758e-13,20525.1072
"reservoir.1438",0,50366.68884
"reservoir.1439",0,34044.048
"reservoir.144",0,78819.372
"reservoir.1440",160.61575167217,18581.14272
"reservoir.1441",0,277533
"reservoir.1442",75.3099253711546,128078.3958
"reservoir.1443",0,109162.98
"reservoir.1444",0,40273.122
"reservoir.1446",0,337973.52
"reservoir.1447",6.73161305788597e-29,796828.08
"reservoir.1448",0,14185.02
"reservoir.1449",0,89180.604
"reservoir.145",0,81039.636
"reservoir.1450",0,293136.522
"reservoir.1451",0,70435.40844
"reservoir.1452",1.93287172719247,64140.96
"reservoir.1453",3.70076418460161e-13,9929.514
"reservoir.1454",0,110761.5701
"reservoir.1455",0,31614.0924
"reservoir.1456",6.2252802993613e-14,7740.087
"reservoir.1457",7708.05917307647,137286.324
"reservoir.1458",4.11675247098189,56493.384
"reservoir.1459",208.09247615596,20243.87376
