fips,topcrop,Barley,Corn,Cotton,Rice,Soybean,Wheat
13311,Cotton,0,0,364.2174,0,0,0
13313,NA,0,0,0,0,0,0
13315,Cotton,0,0,12140.58,0,0,0
13317,NA,0,0,0,0,0,0
13319,NA,0,0,0,0,0,0
13321,Cotton,0,0,26952.0876,0,0,0
16001,Corn,0,3723.1112,0,0,0,0
16003,NA,0,0,0,0,0,0
16005,Soybean,0,0,0,0,16268.377199999999,0
16007,NA,0,0,0,0,0,0
16009,Soybean,0,0,0,0,14771.038999999999,0
16011,Wheat,0,0,0,0,0,64830.697199999995
16013,Soybean,0,0,0,0,5220.4493999999995,0
16015,NA,0,0,0,0,0,0
16017,NA,0,0,0,0,0,0
16019,Wheat,0,0,0,0,0,52042.6196
16021,Wheat,0,0,0,0,0,7608.0968
16023,Soybean,0,0,0,0,5099.0436,0
16025,Soybean,0,0,0,0,6353.5702,0
16027,Corn,0,11412.145199999999,0,0,0,0
16029,Soybean,0,0,0,0,37231.112,0
16031,Wheat,0,0,0,0,0,46457.9528
16033,NA,0,0,0,0,0,0
16035,Soybean,0,0,0,0,4127.7972,0
16037,NA,0,0,0,0,0,0
16039,Corn,0,4613.4204,0,0,0,0
16041,Soybean,0,0,0,0,10764.6476,0
16043,Soybean,0,0,0,0,34195.967,0
16045,Wheat,0,0,0,0,0,1335.4638
16047,Wheat,0,0,0,0,0,768.9034
16049,Soybean,0,0,0,0,39011.7304,0
16051,Soybean,0,0,0,0,43422.8078,0
16053,Wheat,0,0,0,0,0,12990.4206
16055,NA,0,0,0,0,0,0
16057,Soybean,0,0,0,0,46377.0156,0
16059,NA,0,0,0,0,0,0
16061,Wheat,0,0,0,0,0,38930.7932
16063,Wheat,0,0,0,0,0,2347.1788
16065,Soybean,0,0,0,0,36219.397,0
16067,Wheat,0,0,0,0,0,24321.6286
16069,Wheat,0,0,0,0,0,44677.3344
16071,Soybean,0,0,0,0,19829.613999999998,0
16073,Wheat,0,0,0,0,0,3682.6426
16075,Corn,0,2428.116,0,0,0,0
16077,Wheat,0,0,0,0,0,40266.257
16079,NA,0,0,0,0,0,0
16081,Soybean,0,0,0,0,17239.6236,0
16083,Corn,0,17522.9038,0,0,0,0
16085,NA,0,0,0,0,0,0
16087,Soybean,0,0,0,0,2387.6474,0
17001,Corn,0,114121.45199999999,0,0,0,0
17003,Soybean,0,0,0,0,18736.9618,0
17005,Soybean,0,0,0,0,60298.214,0
17007,Corn,0,49978.721,0,0,0,0
17009,Soybean,0,0,0,0,29946.764,0
17011,Corn,0,173974.5114,0,0,0,0
17013,Soybean,0,0,0,0,16146.9714,0
17015,Soybean,0,0,0,0,73369.5718,0
17017,Soybean,0,0,0,0,57951.0352,0
17019,Soybean,0,0,0,0,217316.38199999998,0
17021,Wheat,0,0,0,0,0,153456.9312
17023,Wheat,0,0,0,0,0,78913.77
17025,Soybean,0,0,0,0,73248.166,0
17027,NA,0,0,0,0,0,0
17029,Wheat,0,0,0,0,0,95829.6448
17031,Soybean,0,0,0,0,1618.744,0
17033,Corn,0,73207.6974,0,0,0,0
17035,Soybean,0,0,0,0,57870.098,0
17037,Corn,0,133384.5056,0,0,0,0
17039,Soybean,0,0,0,0,82555.944,0
17041,Soybean,0,0,0,0,92268.408,0
17043,NA,0,0,0,0,0,0
17045,Corn,0,134477.1578,0,0,0,0
17047,Soybean,0,0,0,0,36017.054,0
17049,Soybean,0,0,0,0,73652.852,0
17051,Soybean,0,0,0,0,104004.302,0
17053,Soybean,0,0,0,0,114404.7322,0
17055,Soybean,0,0,0,0,47064.9818,0
17057,Corn,0,105623.046,0,0,0,0
17059,Wheat,0,0,0,0,0,55118.233199999995
17061,Soybean,0,0,0,0,88423.891,0
17063,Soybean,0,0,0,0,79318.45599999999,0
17065,Soybean,0,0,0,0,61107.585999999996,0
17067,Corn,0,127030.9354,0,0,0,0
17069,Barley,2428.116,0,0,0,0,0
17071,Corn,0,62645.3928,0,0,0,0
17073,Soybean,0,0,0,0,161752.9942,0
17075,Corn,0,252726.407,0,0,0,0
17077,Soybean,0,0,0,0,47348.262,0
17079,Wheat,0,0,0,0,0,89880.7606
17081,Soybean,0,0,0,0,59367.4362,0
17083,Soybean,0,0,0,0,48198.1026,0
17085,Corn,0,54632.61,0,0,0,0
17087,Soybean,0,0,0,0,10521.836,0
17089,Corn,0,56615.5714,0,0,0,0
17091,Soybean,0,0,0,0,131361.0756,0
17093,Corn,0,55441.981999999996,0,0,0,0
17095,Soybean,0,0,0,0,117237.5342,0
17097,Soybean,0,0,0,0,4937.1692,0
17099,Corn,0,222455.89419999998,0,0,0,0
17101,Soybean,0,0,0,0,65963.818,0
17103,Corn,0,151959.593,0,0,0,0
17105,Corn,0,239533.6434,0,0,0,0
17107,Corn,0,136783.868,0,0,0,0
17109,Corn,0,104813.674,0,0,0,0
17111,Corn,0,63292.8904,0,0,0,0
17113,Corn,0,255721.0834,0,0,0,0
17115,Corn,0,115173.6356,0,0,0,0
17117,Soybean,0,0,0,0,142044.786,0
17119,Soybean,0,0,0,0,92268.408,0
17121,Soybean,0,0,0,0,69484.5862,0
17123,Soybean,0,0,0,0,73531.44619999999,0
17125,Corn,0,82313.1324,0,0,0,0
17127,Wheat,0,0,0,0,0,24321.6286
17129,Soybean,0,0,0,0,59448.3734,0
17131,Corn,0,97934.012,0,0,0,0
17133,Soybean,0,0,0,0,57424.9434,0
17135,Soybean,0,0,0,0,130713.578,0
17137,Corn,0,105177.8914,0,0,0,0
17139,Soybean,0,0,0,0,68796.62,0
17141,Corn,0,136986.211,0,0,0,0
17143,Corn,0,79804.0792,0,0,0,0
17145,Wheat,0,0,0,0,0,60136.3396
17147,Soybean,0,0,0,0,105623.046,0
17149,Soybean,0,0,0,0,110479.27799999999,0
17151,Soybean,0,0,0,0,4856.232,0
17153,Soybean,0,0,0,0,23552.7252,0
17155,Soybean,0,0,0,0,25090.532,0
17157,Soybean,0,0,0,0,78792.3642,0
17159,Wheat,0,0,0,0,0,65963.818
17161,Corn,0,46943.576,0,0,0,0
17163,Wheat,0,0,0,0,0,87128.8958
17165,Soybean,0,0,0,0,42087.344,0
17167,Soybean,0,0,0,0,154994.73799999998,0
17169,Corn,0,49371.691999999995,0,0,0,0
17171,Soybean,0,0,0,0,41277.972,0
17173,Soybean,0,0,0,0,141235.414,0
17175,Soybean,0,0,0,0,63940.388,0
17177,Soybean,0,0,0,0,99633.6932,0
