"variable","optimized"
"withdrawals",10917.799823609086
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",537.2745454546298
"withdrawals",0.0
"withdrawals",3956.1040264587364
"withdrawals",771.0224999999773
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",86444.41500000001
"withdrawals",0.0
"withdrawals",2558.518724559003
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",67967.28479647214
"withdrawals",0.0
"withdrawals",3208.5599999999995
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",14860.381913161584
"withdrawals",42689.527316825115
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",3042.6625508819925
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",1410.6287245590065
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",15784.091116010986
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",69381.68377544101
"withdrawals",0.0
"withdrawals",2613.9951017638987
"withdrawals",0.0
"withdrawals",81738.13355495245
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",76.06500000000051
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",1403.745
"withdrawals",6247.765050882019
"withdrawals",15120.740576661912
"withdrawals",15809.194348711113
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",28213.060824287684
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",581.5949728629214
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",8924.902140434133
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",1272.3600000000001
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",70347.88848371775
"withdrawals",0.0
"withdrawals",2731.4250000000006
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",682614.225
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",68984.15884667564
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",47397.75565807335
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",34325.33597354126
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",3246.9099457260763
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",20246.510128900973
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",1168.697550881996
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",2586.21
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",2482.453724559001
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",338.70989823609307
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",878.4552035278466
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",8760.288548168328
"withdrawals",0.0
"withdrawals",1624.774796472202
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",2122.9049999999997
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",41622.26071234732
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",24808.52109226592
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",1922.244898236101
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
"withdrawals",0.0
